iter	Logloss
0	0.6903604036
1	0.6878282475
2	0.685378122
3	0.683290136
4	0.6818012427
5	0.6805289055
6	0.6789947408
7	0.6775690683
8	0.6764756089
9	0.6754162286
10	0.6744935614
11	0.6737832866
12	0.6730628861
13	0.6721573097
14	0.670939959
15	0.6704487089
16	0.6695621289
17	0.6688918839
18	0.6681864314
19	0.6672135352
20	0.6663070941
21	0.6655786303
22	0.6649091082
23	0.6644092914
24	0.6637208866
25	0.6631417704
26	0.6627296761
27	0.6621904271
28	0.6616924464
29	0.6613800726
30	0.6608934298
31	0.6602340648
32	0.6599100532
33	0.659520794
34	0.6589304877
35	0.6583627774
36	0.6579590967
37	0.6575401674
38	0.6570856855
39	0.6568124936
40	0.6563111827
41	0.6561144941
42	0.6558113081
43	0.6554573277
44	0.6551239261
45	0.6547936483
46	0.6544495433
47	0.6542301804
48	0.6538995195
49	0.6535067597
50	0.6533447411
51	0.6529811478
52	0.6527522232
53	0.6523303252
54	0.6519946015
55	0.6517738833
56	0.6515080635
57	0.6512271619
58	0.6509618424
59	0.650682079
60	0.6504489965
61	0.6502199849
62	0.6500352283
63	0.6498424027
64	0.6496116545
65	0.6494129653
66	0.6491390937
67	0.6488640907
68	0.6486894073
69	0.6483593495
70	0.6481952754
71	0.6479405594
72	0.6478471269
73	0.6475923883
74	0.6473547898
75	0.6470926829
76	0.6467472028
77	0.6466064249
78	0.6464794925
79	0.6463480214
80	0.6461303945
81	0.6459213503
82	0.6456656013
83	0.6454563668
84	0.6452969594
85	0.6451337885
86	0.6449759535
87	0.6447639869
88	0.6445876289
89	0.6443987104
90	0.6442608855
91	0.6441252679
92	0.6439362876
93	0.6438300753
94	0.6436686922
95	0.6435147913
96	0.643318133
97	0.6431494455
98	0.6428952997
99	0.6426923456
100	0.6425118719
101	0.6423690306
102	0.6422143038
103	0.6420698577
104	0.6419061813
105	0.641824104
106	0.6416501591
107	0.6414750726
108	0.6413110876
109	0.6412010911
110	0.6410220193
111	0.6408660043
112	0.640718078
113	0.6406221587
114	0.6404586689
115	0.6403299521
116	0.6401278508
117	0.6400038757
118	0.6398806806
119	0.6397516727
120	0.6396112943
121	0.6395005499
122	0.6392913971
123	0.6391995405
124	0.6390672996
125	0.6389619299
126	0.6388044427
127	0.6386851283
128	0.6386040391
129	0.6384388822
130	0.6382928907
131	0.6381419508
132	0.63789735
133	0.6377024801
134	0.6375795512
135	0.6374404678
136	0.6372964269
137	0.637234043
138	0.6370801707
139	0.6368906406
140	0.6367467891
141	0.6365673217
142	0.6364348412
143	0.6362861512
144	0.6361396533
145	0.6360141759
146	0.6358600948
147	0.6357123002
148	0.6355829492
149	0.635395331
150	0.6352892939
151	0.6351273191
152	0.635013394
153	0.6349084285
154	0.6347374235
155	0.6345766487
156	0.6344461571
157	0.6343250448
158	0.634129898
159	0.6339886408
160	0.6338780013
161	0.6337733322
162	0.6336538558
163	0.6335287853
164	0.633369096
165	0.6332485602
166	0.6331026699
167	0.6329750393
168	0.6328347731
169	0.632680552
170	0.632511734
171	0.6324076153
172	0.632296743
173	0.6321477804
174	0.6320027081
175	0.6318732424
176	0.6317371189
177	0.6316357363
178	0.6314877871
179	0.6313634134
180	0.6311826267
181	0.6310549074
182	0.6308760217
183	0.6307127611
184	0.6305732331
185	0.6304363395
186	0.6302888312
187	0.6301864314
188	0.630061345
189	0.6298908877
190	0.6297177942
191	0.6296130542
192	0.6294679133
193	0.629310856
194	0.6292072271
195	0.6290803652
196	0.6289631976
197	0.6288540021
198	0.6287341679
199	0.6286682004
200	0.6285680211
201	0.628423709
202	0.6282945818
203	0.6281764657
204	0.6280931433
205	0.6279826768
206	0.6278533017
207	0.6277343894
208	0.6276462094
209	0.6275045965
210	0.6274308396
211	0.6273466153
212	0.627260329
213	0.6271390798
214	0.6270357872
215	0.6268862451
216	0.6267511952
217	0.6265848913
218	0.6264365698
219	0.6263095124
220	0.6262180821
221	0.6261569576
222	0.6260309234
223	0.6259118005
224	0.6258170309
225	0.6257273198
226	0.6256241148
227	0.6255354398
228	0.6254436839
229	0.6253212559
230	0.6252202583
231	0.6251275734
232	0.6249948604
233	0.624882639
234	0.624715313
235	0.6245791658
236	0.6244270979
237	0.6242953981
238	0.6242073023
239	0.6241080682
240	0.6240343207
241	0.6239372478
242	0.6237751903
243	0.6236725607
244	0.6235956533
245	0.6235194095
246	0.6234351976
247	0.6233436752
248	0.6232449534
249	0.6231458147
250	0.6230122598
251	0.6229358341
252	0.6228419826
253	0.6227473738
254	0.6226409206
255	0.6223949894
256	0.62226295
257	0.6221781717
258	0.6220592558
259	0.6219541416
260	0.6218604563
261	0.6217645667
262	0.6216952612
263	0.621583243
264	0.6214860994
265	0.6214085357
266	0.6212867441
267	0.6211314552
268	0.6209447256
269	0.620870664
270	0.6207351155
271	0.6206104529
272	0.6205067139
273	0.6204248968
274	0.6203200972
275	0.6202045328
276	0.6201005117
277	0.6200358959
278	0.6199189149
279	0.6198053094
280	0.6197350628
281	0.6196253427
282	0.6195392369
283	0.6194156223
284	0.619319232
285	0.619217086
286	0.6191208816
287	0.6189845389
288	0.6188780498
289	0.618786548
290	0.6186901725
291	0.6185576198
292	0.6184831596
293	0.6183822675
294	0.6183105556
295	0.6182260908
296	0.6181291328
297	0.618046546
298	0.6179552531
299	0.6178640134
300	0.6177555652
301	0.6176593862
302	0.6175890085
303	0.6175046617
304	0.6174159648
305	0.6173479351
306	0.6172186614
307	0.6171598681
308	0.6170854982
309	0.616966305
310	0.6168917812
311	0.6167897836
312	0.6167101047
313	0.6166238845
314	0.6165579501
315	0.6164789389
316	0.6163813203
317	0.6162967877
318	0.6162208106
319	0.6161439471
320	0.616020319
321	0.6159308499
322	0.6158702098
323	0.6157878287
324	0.6156733794
325	0.6155718663
326	0.6154591924
327	0.6153428185
328	0.6152623273
329	0.6151899433
330	0.6151301913
331	0.6150386028
332	0.6149589322
333	0.6148822197
334	0.6148404743
335	0.6147710449
336	0.6146662001
337	0.6145424685
338	0.6144829395
339	0.6143793632
340	0.6142804963
341	0.6142360265
342	0.6141787041
343	0.6140764965
344	0.6139405276
345	0.6138592639
346	0.6137637989
347	0.6136844458
348	0.6136086008
349	0.6135594905
350	0.6134796415
351	0.6133707404
