iter	Passed	Remaining
0	152	152699
1	214	107140
2	273	90829
3	336	83896
4	405	80697
5	513	85076
6	577	81966
7	658	81628
8	727	80123
9	793	78586
10	858	77146
11	923	76067
12	994	75520
13	1053	74174
14	1112	73050
15	1175	72312
16	1230	71171
17	1291	70437
18	1348	69605
19	1410	69125
20	1473	68692
21	1568	69746
22	1651	70165
23	1731	70431
24	1806	70451
25	1882	70508
26	1956	70521
27	2041	70853
28	2099	70295
29	2160	69841
30	2235	69868
31	2308	69819
32	2386	69923
33	2446	69499
34	2518	69439
35	2586	69268
36	2687	69941
37	2762	69946
38	2830	69753
39	2888	69331
40	2947	68948
41	3028	69070
42	3098	68955
43	3162	68701
44	3247	68921
45	3307	68589
46	3375	68438
47	3442	68274
48	3512	68175
49	3572	67879
50	3639	67722
51	3697	67413
52	3768	67339
53	3829	67089
54	3888	66804
55	3945	66503
56	4006	66289
57	4066	66050
58	4125	65802
59	4185	65573
60	4243	65318
61	4305	65143
62	4365	64922
63	4427	64747
64	4491	64606
65	4572	64702
66	4631	64500
67	4692	64310
68	4767	64326
69	4834	64234
70	4900	64114
71	4956	63882
72	5035	63945
73	5090	63706
74	5149	63505
75	5203	63267
76	5270	63172
77	5335	63073
78	5391	62860
79	5468	62891
80	5526	62706
81	5596	62650
82	5661	62552
83	5719	62367
84	5791	62345
85	5859	62278
86	5934	62277
87	5992	62103
88	6055	61986
89	6115	61837
90	6175	61683
91	6234	61528
92	6298	61428
93	6349	61202
94	6407	61042
95	6466	60896
96	6535	60837
97	6593	60689
98	6649	60520
99	6707	60364
100	6771	60269
101	6826	60104
102	6882	59939
103	6962	59986
104	7031	59932
105	7092	59821
106	7153	59703
107	7228	59701
108	7312	59773
109	7388	59779
110	7452	59683
111	7520	59626
112	7581	59510
113	7639	59373
114	7702	59279
115	7770	59216
116	7834	59123
117	7896	59021
118	7965	58970
119	8034	58921
120	8099	58841
121	8158	58712
122	8227	58663
123	8301	58647
124	8366	58566
125	8425	58440
126	8486	58335
127	8564	58343
128	8627	58252
129	8689	58151
130	8757	58092
131	8816	57976
132	8882	57905
133	8947	57822
134	9014	57760
135	9081	57694
136	9143	57598
137	9207	57514
138	9273	57441
139	9334	57338
